Fecha;Llamadas_Predecidas;Llamadas_Recibidas;Es_Cyber;;;;;;;;;;;;;;;;;
05-09-2021;741;1177;NO;;;;;;;;;;;;;;;;;
06-09-2021;4033;4028;NO;;;;;;;;;;;;;;;;;
07-09-2021;3866;3458;NO;;;;;;;;;;;;;;;;;
08-09-2021;3605;3050;NO;;;;;;;;;;;;;;;;;
09-09-2021;3209;2636;NO;;;;;;;;;;;;;;;;;
10-09-2021;2768;3458;NO;;;;;;;;;;;;;;;;;
11-09-2021;1190;1236;NO;;;;;;;;;;;;;;;;;
12-09-2021;604;569;NO;;;;;;;;;;;;;;;;;
13-09-2021;3116;2779;NO;;;;;;;;;;;;;;;;;
14-09-2021;2656;2317;NO;;;;;;;;;;;;;;;;;
15-09-2021;2466;2274;NO;;;;;;;;;;;;;;;;;
16-09-2021;2113;1963;NO;;;;;;;;;;;;;;;;;
17-09-2021;1051;506;NO;;;;;;;;;;;;;;;;;
18-09-2021;;;NO;;;;;;;;;;;;;;;;;
19-09-2021;;;NO;;;;;;;;;;;;;;;;;
20-09-2021;3344;3050;NO;;;;;;;;;;;;;;;;;
21-09-2021;2970;2567;NO;;;;;;;;;;;;;;;;;
22-09-2021;2724;2702;NO;;;;;;;;;;;;;;;;;
23-09-2021;2481;2377;NO;;;;;;;;;;;;;;;;;
24-09-2021;2152;2293;NO;;;;;;;;;;;;;;;;;
25-09-2021;1160;1105;NO;;;;;;;;;;;;;;;;;
26-09-2021;548;503;NO;;;;;;;;;;;;;;;;;
27-09-2021;3500;2646;NO;;;;;;;;;;;;;;;;;
28-09-2021;3337;2858;NO;;;;;;;;;;;;;;;;;
29-09-2021;3117;3029;NO;;;;;;;;;;;;;;;;;
30-09-2021;2919;3700;NO;;;;;;;;;;;;;;;;;
01-10-2021;3353;5565;NO;;;;;;;;;;;;;;;;;
02-10-2021;1408;1585;NO;;;;;;;;;;;;;;;;;
03-10-2021;898;732;NO;;;;;;;;;;;;;;;;;
04-10-2021;7810;8464;SI;;;;;;;;;;;;;;;;;
05-10-2021;6416;10052;SI;;;;;;;;;;;;;;;;;
06-10-2021;5601;7216;SI;;;;;;;;;;;;;;;;;
07-10-2021;4905;4913;NO;;;;;;;;;;;;;;;;;
08-10-2021;4151;3389;NO;;;;;;;;;;;;;;;;;
09-10-2021;1557;1495;NO;;;;;;;;;;;;;;;;;
10-10-2021;715;753;NO;;;;;;;;;;;;;;;;;
11-10-2021;1045;972;NO;;;;;;;;;;;;;;;;;
12-10-2021;4473;3540;NO;;;;;;;;;;;;;;;;;
13-10-2021;4314;3143;NO;;;;;;;;;;;;;;;;;
14-10-2021;4354;2807;NO;;;;;;;;;;;;;;;;;
15-10-2021;3862;2725;NO;;;;;;;;;;;;;;;;;
16-10-2021;1561;1266;NO;;;;;;;;;;;;;;;;;
17-10-2021;580;612;NO;;;;;;;;;;;;;;;;;
18-10-2021;3736;2918;NO;;;;;;;;;;;;;;;;;
19-10-2021;3626;2906;NO;;;;;;;;;;;;;;;;;
20-10-2021;3496;2792;NO;;;;;;;;;;;;;;;;;
21-10-2021;3473;2887;NO;;;;;;;;;;;;;;;;;
22-10-2021;3237;2781;NO;;;;;;;;;;;;;;;;;
23-10-2021;1379;1134;NO;;;;;;;;;;;;;;;;;
24-10-2021;453;600;NO;;;;;;;;;;;;;;;;;
25-10-2021;3443;2805;NO;;;;;;;;;;;;;;;;;
26-10-2021;3519;2684;NO;;;;;;;;;;;;;;;;;
27-10-2021;3460;2849;NO;;;;;;;;;;;;;;;;;
28-10-2021;4056;2940;NO;;;;;;;;;;;;;;;;;
29-10-2021;4150;3445;NO;;;;;;;;;;;;;;;;;
30-10-2021;1576;1367;NO;;;;;;;;;;;;;;;;;
31-10-2021;852;580;NO;;;;;;;;;;;;;;;;;
01-11-2021;968;807;NO;;;;;;;;;;;;;;;;;
02-11-2021;3996;4162;NO;;;;;;;;;;;;;;;;;
03-11-2021;3926;4009;NO;;;;;;;;;;;;;;;;;
04-11-2021;3223;3339;NO;;;;;;;;;;;;;;;;;
05-11-2021;3365;3088;NO;;;;;;;;;;;;;;;;;
06-11-2021;1923;1304;NO;;;;;;;;;;;;;;;;;
07-11-2021;881;700;NO;;;;;;;;;;;;;;;;;
08-11-2021;2913;3310;NO;;;;;;;;;;;;;;;;;
09-11-2021;2745;2994;NO;;;;;;;;;;;;;;;;;
10-11-2021;2654;2876;NO;;;;;;;;;;;;;;;;;
11-11-2021;2595;2507;NO;;;;;;;;;;;;;;;;;
12-11-2021;2568;2221;NO;;;;;;;;;;;;;;;;;
13-11-2021;1095;1176;NO;;;;;;;;;;;;;;;;;
14-11-2021;615;589;NO;;;;;;;;;;;;;;;;;
15-11-2021;3095;3442;NO;;;;;;;;;;;;;;;;;
16-11-2021;2750;2697;NO;;;;;;;;;;;;;;;;;
17-11-2021;2691;2463;NO;;;;;;;;;;;;;;;;;
18-11-2021;2601;2544;NO;;;;;;;;;;;;;;;;;
19-11-2021;2648;2412;NO;;;;;;;;;;;;;;;;;
20-11-2021;1291;1171;NO;;;;;;;;;;;;;;;;;
21-11-2021;583;458;NO;;;;;;;;;;;;;;;;;
22-11-2021;2938;2724;NO;;;;;;;;;;;;;;;;;
23-11-2021;2907;2835;NO;;;;;;;;;;;;;;;;;
24-11-2021;2870;2598;NO;;;;;;;;;;;;;;;;;
25-11-2021;2731;2802;NO;;;;;;;;;;;;;;;;;
26-11-2021;2849;3394;SI;;;;;;;;;;;;;;;;;
27-11-2021;1115;1832;SI;;;;;;;;;;;;;;;;;
28-11-2021;498;1071;SI;;;;;;;;;;;;;;;;;
29-11-2021;3456;4035;NO;;;;;;;;;;;;;;;;;
30-11-2021;3307;3589;NO;;;;;;;;;;;;;;;;;
01-12-2021;3435;3683;NO;;;;;;;;;;;;;;;;;
02-12-2021;3569;3277;NO;;;;;;;;;;;;;;;;;
03-12-2021;3228;3132;NO;;;;;;;;;;;;;;;;;
